"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"40 Waterlow Road","1-23665934671","","Dimude, Justina Oluchi, Mrs","200003703063","07715271036","","Kent","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-06-27","","Y","","6/27/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","","","","","","","","Jandp Healthcare Services Ltd","1-18391437665","6/27/2025 12:00:00 AM","0","Organisation","14150578","1","1 location","0","0","1","1.00%","","","","","","0","",""
"41 West Hill","1-3496117728","","Revill, Sarah Elizabeth, Mrs","100031259493","01623443997","www.cimacare.co.uk","Nottinghamshire","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","5","2017-03-06","","N","Good","3/6/2017 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Cima Care Consortium Ltd","1-3285010884","3/6/2017 12:00:00 AM","8","Organisation","9839395","2","2 - 5 locations","9","0","1","1.00%","","","","","","0","",""
"42 Alexandra Road","1-3279055639","","Dzade, Michael Hodzi, Mr","100062326555","07950904023","www.virtuecare.co.uk","Hampshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2017-02-09","","N","Good","2/9/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","Virtue Care Ltd","1-2588828357","8/15/2016 12:00:00 AM","9","Organisation","09813285","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"42 Beeston Drive","1-1670982689","","","100010206301","01606552320","","Cheshire West and Chester","North West (ADASS Region)","Residential social care","Care home service without nursing","4","2014-09-30","","N","Requires Improvement","9/30/2014 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Requires Improvement","Good","Good","Good","Requires Improvement","iMap Centre Limited","1-295728580","10/24/2011 12:00:00 AM","14","Organisation","07104954","8","6 - 10 locations","20","0","2","1.00%","","","","","","0","",""
"42 Hamstead","1-22980550294","","Corbett, James Harry Joseph, Mr","100070392289","07922506751","","Birmingham","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","4","2025-04-29","","Y","","4/29/2025 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Mental health conditions","1-9 beds","","","","","","","JN Healthcare Group Residential Ltd","1-16536634308","11/24/2023 12:00:00 AM","2","Organisation","14680082","4","2 - 5 locations","18","0","2","1.00%","","","","","","0","",""
"42 Twyford Gardens","1-9649168944","","Navarro Muela, Maria Angeles, Mrs","100061907483","01903263906","www.achievetogether.co.uk","West Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","4","2020-12-01","","N","Requires improvement","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 5 years but less than 8 years","Requires improvement","Requires improvement","Requires improvement","Requires improvement","Requires improvement","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"429 Warwick Road","1-129460386","","Edwards, Ruth Alain, Mrs","200003827185","01217044563","www.voyagecare.com","Solihull","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","6","2010-12-20","","N","Good","12/20/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"42a Haddon","1-119126282","","","10023651556","01908262860","www.macintyrecharity.org","Milton Keynes","East (ADASS Region)","Residential social care","Care home service without nursing","40","2011-03-23","","N","Good","3/23/2011 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","MacIntyre Care","1-102643071","10/1/2010 12:00:00 AM","15","Organisation","00894054","71","More than 50 locations","348","0.04","21","14.00%","BRAND MacIntyre Care","BD172","71","More than 50 locations","348","0.04","21","14.00%"
"43 Florence Avenue","1-2931871759","","Etse, Petrina Yvonne, Ms","48027266","02086465921","","Merton","Greater London (ADASS Region)","Residential social care","Care home service without nursing","8","2016-09-26","","N","Good","9/26/2016 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Florence Avenue Care Home Limited","1-2713483644","9/26/2016 12:00:00 AM","9","Organisation","9682550","1","1 location","8","0","1","1.00%","","","","","","0","",""
"43 Sedlescombe Road South","1-4362111880","","Macartney, Fiona Joy, Miss","100060050077","","","East Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","6","2018-01-16","","N","Outstanding","1/16/2018 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Good","Outstanding","Outstanding","ASD Unique Services LLP","1-393984913","5/8/2012 12:00:00 AM","13","Organisation","OC370574","6","6 - 10 locations","26","0","1","1.00%","","","","","","0","",""
"43 Station Road","1-129459126","","Sayi, Cosen, Mr","100080371858","01784488581","www.voyagecare.com","Windsor and Maidenhead","South East (ADASS Region)","Residential social care","Care home service without nursing","6","2010-12-20","","N","Requires improvement","12/20/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"4319 Fountain Care Ltd","1-2149780465","","Moyo, Lomaculo, Mrs","10096321601","01895876522","www.4319fountaincare.net","Hillingdon","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2015-07-23","","N","Good","7/23/2015 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","4319 Fountain Care Ltd","1-1997813708","7/23/2015 12:00:00 AM","10","Organisation","09352579","1","1 location","0","0","1","1.00%","","","","","","0","",""
"43a and 43b Morley Road","1-4658553003","","","100090466550","01621819070","www.salutemcareandeducation.co.uk","Essex","East (ADASS Region)","Residential social care","Care home service without nursing","6","2018-04-30","","N","Good","4/30/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Salutem LD BidCo IV Limited","1-4569494592","4/30/2018 12:00:00 AM","7","Organisation","10988939","34","21 - 50 locations","163","0.02","22","14.00%","BRAND Salutem Bid Co Ltd","BD490","134","More than 50 locations","1041","0.12","52","34.00%"
"44 Albion Road","1-9654806673","","Gyabeng, Bright Hakeem, Mr","5870044737","02086422092","www.achievetogether.co.uk","Sutton","Greater London (ADASS Region)","Residential social care","Care home service without nursing","7","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 5 years but less than 8 years","Good","Requires improvement","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"44 Glen Avenue","1-4699402635","","Ally, Zayne, Mr","100010880561","07538613409","","Bolton","North West (ADASS Region)","Residential social care","Care home service without nursing","4","2018-04-06","","N","Good","4/6/2018 12:00:00 AM","Caring for adults under 65 yrs, Mental health conditions, Sensory impairment","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Max Potential UK Ltd","1-713087815","6/21/2013 12:00:00 AM","12","Organisation","08426041","4","2 - 5 locations","20","0","1","1.00%","","","","","","0","",""
"44 Newbold Road","1-5841806076","","Moseby, Katie Elizabeth, Miss","35476436","01246899012","www.potens-uk.com","Derbyshire","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","9","2018-12-03","","N","Good","12/3/2018 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Potensial Limited","1-101683680","10/1/2010 12:00:00 AM","15","Organisation","05846789","48","21 - 50 locations","332","0.04","19","12.00%","BRAND Potensial Limited","BD266","78","More than 50 locations","416","0.05","27","17.00%"
"44 Rothsay Avenue, Stoke-On-Trent ST1 6EZ","1-16860981029","","Chogugudza, Macdonald Tatenda, Mr","3455082859","07949912066","www.reaglehealth.com","Stoke-on-Trent","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-09-06","","N","","9/6/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 1 year but less than 3 years","","","","","","Reagle Health Limited","1-15524359358","9/6/2023 12:00:00 AM","2","Organisation","14563798","1","1 location","0","0","1","1.00%","","","","","","0","",""
"44 Stimpson Avenue","1-1778787604","","Sweeney, Julie Amanda, Mrs","15035344","01604230457","","West Northamptonshire","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","3","2014-12-10","","N","Good","12/10/2014 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Tabs @ 42 Limited","1-101641979","10/1/2010 12:00:00 AM","15","Organisation","05901322","3","2 - 5 locations","10","0","1","1.00%","","","","","","0","",""
"45 Hall Green Road","1-129459141","","Blakemore, Jayne Louise, Mrs","32138323","01215884560","www.voyagecare.com","Sandwell","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","8","2010-12-20","","N","Requires improvement","12/20/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Requires improvement","Requires improvement","Requires improvement","Good","Requires improvement","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"45 Watson Road","1-3605416813","","Webster, Robert Francis, Mr","100010839154","01253341436","","Blackpool","North West (ADASS Region)","Residential social care","Care home service without nursing","6","2017-04-23","","N","Good","4/23/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Mr Robert Francis Webster","1-3486308867","4/23/2017 12:00:00 AM","8","Individual","","1","1 location","6","0","1","1.00%","","","","","","0","",""
"45-47 Longsmith Street","1-22164482108","","Abimbola-Ayeni, Kolawole, Mr","100121384643","01452345272","","Gloucestershire","South West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-04-02","","Y","","4/2/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","","","","","","","Integrated Options UK Ltd","1-20710755397","4/2/2025 12:00:00 AM","0","Organisation","11930524","1","1 location","0","0","1","1.00%","","","","","","0","",""
"46 Bath Road","1-118415585","","","524337","01179601491","www.milestonestrust.org.uk","South Gloucestershire","South West (ADASS Region)","Residential social care","Care home service without nursing","6","2010-11-11","","N","Good","11/11/2010 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Milestones Trust","1-101649874","10/1/2010 12:00:00 AM","15","Organisation","02011021","67","More than 50 locations","628","0.07","6","4.00%","BRAND Milestones Trust","BD282","67","More than 50 locations","628","0.07","6","4.00%"
