Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
"Dr A M Cole & Partners, Lockswood Surgery",Lockswood Surgery,"Centre Way, Locks Heath",Southampton,Hampshire,SO31 6DX,01489576708,1-199750728,1-541911096,,Hampshire,South East,2017-06-01T00:00:00Z,https://www.cqc.org.uk/location/1-541911096,,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr A M Cole & Partners, Lockswood Surgery"
"Dr Abbas Awad, Dr Bose Mohan, Dr Fazal Omer",West View Road,,Hartlepool,Cleveland,TS24 9LJ,01429890400,1-2825962317,1-2938786740,,Hartlepool,North East,2017-07-07T00:00:00Z,https://www.cqc.org.uk/location/1-2938786740,West View Millennium Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs",West View Millennium Surgery
"Dr Ajith Azad, Dr Sajith Azad and Dr NM Mohamed Faiz",Boleyn Medical Centre 1st floor,"152 Barking Road, East Ham",London,,E6 3BD,02084758550,1-199732837,,,Newham,London,,https://www.cqc.org.uk/provider/1-199732837,The Azad Practice,"Maternity and midwifery services,Treatment of disease, disorder or injury,Diagnostic and screening procedures",Partnership,"Dr Ajith Azad, Dr Sajith Azad and Dr NM Mohamed Faiz"
"Dr Ajith Azad, Dr Sajith Azad and Dr NM Mohamed Faiz",Boleyn Medical Centre 1st floor,"152 Barking Road, East Ham",London,,E6 3BD,02084758550,1-199732837,1-546193133,,Newham,London,2016-12-12T00:00:00Z,https://www.cqc.org.uk/location/1-546193133,The Azad Practice,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Ajith Azad, Dr Sajith Azad and Dr NM Mohamed Faiz"
"Dr Archna Kylahsum, Dr Rajesh Kylahsum",28 Ruislip Road,,Greenford,Middlesex,UB6 9QN,02085781471,1-5232841991,,,Ealing,London,,https://www.cqc.org.uk/provider/1-5232841991,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Archna Kylahsum, Dr Rajesh Kylahsum"
"Dr Ayithri Sahadevan, Dr Aurooj Khan and Dr Stella Cartwright",2 Queens Road,,Farnborough,Hampshire,GU14 6DH,01252219262,1-2714392440,,https://www.northcampsurgery.co.uk,Hampshire,South East,,https://www.cqc.org.uk/provider/1-2714392440,North Camp Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Ayithri Sahadevan, Dr Aurooj Khan and Dr Stella Cartwright"
"Dr Bates, Fearn-Smith and Farrell",30 Barnfield Road,,Exeter,Devon,EX1 1RX,01392211266,1-199762576,,,Devon,South West,,https://www.cqc.org.uk/provider/1-199762576,Southernhay House Surgery,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Bates, Fearn-Smith and Farrell"
"Dr CM Parker, Dr RS Doswell and Dr CW Wood",Topcliffe Surgery,"Long Street, Topcliffe",Thirsk,North Yorkshire,YO7 3RP,01845577297,1-199695408,,https://www.topcliffesurgery.co.uk,North Yorkshire,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199695408,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr CM Parker, Dr RS Doswell and Dr CW Wood"
"Dr Chakraborty, Dr Chilamkurthi & Dr Yadlapalli",King's Medical Centre,King Street,Sutton-in-ashfield,,NG17 1AT,01623551015,1-5681132842,,https://www.kingsmcsuttoninashfield.co.uk,Nottinghamshire,East Midlands,,https://www.cqc.org.uk/provider/1-5681132842,King's Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Chakraborty, Dr Chilamkurthi & Dr Yadlapalli"
"Dr Corbett, Dr Garget & Dr Mendis","Park Lane Surgery, Redmarshall Street",Stillington,Stockton On Tees,Cleveland,TS21 1JS,01740631001,1-198597410,,,Stockton-on-Tees,North East,,https://www.cqc.org.uk/provider/1-198597410,Park Lane Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Corbett, Dr Garget & Dr Mendis"
"Dr Corbett, Dr Garget & Dr Mendis","Park Lane Surgery, Redmarshall Street",Stillington,Stockton On Tees,Cleveland,TS21 1JS,01740631001,1-198597410,1-569761719,,Stockton-on-Tees,North East,2017-02-09T00:00:00Z,https://www.cqc.org.uk/location/1-569761719,Park Lane Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Corbett, Dr Garget & Dr Mendis"
"Dr David Goldberg, Dr Hannah Brooks, Dr Gustavo Berni and Dr Massimo Gozzelino",17 Merton Road,,Bootle,Merseyside,L20 3BG,01514767962,1-20710419415,,https://www.concepthousesurgery.nhs.uk,Sefton,North West,,https://www.cqc.org.uk/provider/1-20710419415,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr David Goldberg, Dr Hannah Brooks, Dr Gustavo Berni and Dr Massimo Gozzelino"
"Dr Dawes, Foster and Narasimhan",The Ridgeway Surgery,"175 The Ridgeway, Sedgley",Dudley,West Midlands,DY3 3UH,01902886500,1-199773229,,https://www.ridgewaysurgery.co.uk,Dudley,West Midlands,,https://www.cqc.org.uk/provider/1-199773229,The Ridgeway Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Dawes, Foster and Narasimhan"
"Dr Dawes, Foster and Narasimhan",The Ridgeway Surgery,"175 The Ridgeway, Sedgley",Dudley,West Midlands,DY3 3UH,01902886500,1-199773229,1-559847824,https://www.ridgewaysurgery.co.uk,Dudley,West Midlands,2016-06-06T00:00:00Z,https://www.cqc.org.uk/location/1-559847824,,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Dawes, Foster and Narasimhan"
"Dr Dee, Dr Awe and Dr Zaidi",46 Station Road,,Barnet,Hertfordshire,EN5 1QH,02084414425,1-199720811,,https://www.addingtonmedicalcentre.co.uk,Barnet,London,,https://www.cqc.org.uk/provider/1-199720811,Addington Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Dee, Dr Awe and Dr Zaidi"
"Dr Emma Traer, Eagle House Surgery.",1 Eagle House,56 Crowstone Road,Westcliff-on-sea,,SS0 8BD,07951541243,1-22150487452,1-23708754786,,Southend-on-Sea,East,,https://www.cqc.org.uk/location/1-23708754786,,Services for everyone,"Doctors/GPs,Doctors/GPs",Dr Emma Palmer
"Dr Fiona McAndrew, Private GP",10 Pennant Mews,,London,,W8 5JN,,1-8855960331,1-9146725245,,Kensington and Chelsea,London,2023-02-09T00:00:00Z,https://www.cqc.org.uk/location/1-9146725245,,"Sensory impairments,Services for everyone,Physical disabilities","Doctors/GPs,Doctors/GPs",Dr Fiona Keene
"Dr G Kozlowski, Dr M Northfield",St. Georges Drive,Moston,Manchester,,M40 5HP,01618703449,1-20710039709,,https://www.stgeorgesmedicalcentremoston.nhs.uk,Manchester,North West,,https://www.cqc.org.uk/provider/1-20710039709,St Georges Medical Centre,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr G Kozlowski, Dr M Northfield"
"Dr G Singh, Sturdee Road Health & Wellbeing Centre",182 Sturdee Road,,Leicester,,LE2 9DB,01162783066,1-13143539258,1-13445928235,https://www.drgsingh.co.uk,Leicester,East Midlands,,https://www.cqc.org.uk/location/1-13445928235,,Services for everyone,"Doctors/GPs,Doctors/GPs",Dr G Singh & Partner
"Dr Hall, Hillman, Macartney, Mr Smith-Avery, Dr Garstang, Dr Mair & Dr Lindsay",4 Meavy Way,Crownhill,Plymouth,Devon,PL5 3JB,01752771895,1-199762854,,https://www.knowlehousesurgery.co.uk,Plymouth,South West,,https://www.cqc.org.uk/provider/1-199762854,Knowle House Surgery,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Hall, Hillman, Macartney, Mr Smith-Avery, Dr Garstang, Dr Mair & Dr Lindsay"
"Dr Hall, Hillman, Macartney, Mr Smith-Avery, Dr Garstang, Dr Mair & Dr Lindsay",4 Meavy Way,Crownhill,Plymouth,Devon,PL5 3JB,08443878895,1-199762854,1-554348393,https://www.knowlehousesurgery.co.uk,Plymouth,South West,2016-03-17T00:00:00Z,https://www.cqc.org.uk/location/1-554348393,Knowle House Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Hall, Hillman, Macartney, Mr Smith-Avery, Dr Garstang, Dr Mair & Dr Lindsay"
"Dr Hallikeri and Partners, Little Lever Health Centre 1",63 Market Street,Little Lever,Bolton,,BL3 1HH,01204462640,1-199783617,1-18232596828,,Bolton,North West,,https://www.cqc.org.uk/location/1-18232596828,,Services for everyone,"Doctors/GPs,Doctors/GPs",Little Lever Health Centre 1
"Dr Himesh Panchal, Dr Karnika Panchal & Dr Alan Bree",9 London Road,,Kettering,Northamptonshire,NN16 0EF,01536512046,1-5685654209,,https://www.dentalcarekettering.co.uk,North Northamptonshire,East Midlands,,https://www.cqc.org.uk/provider/1-5685654209,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Himesh Panchal, Dr Karnika Panchal & Dr Alan Bree"
"Dr Htun Nay Lin, Mattock Lane Health Centre",78 Mattock Lane,,London,,W13 9NZ,,1-2192976090,1-2255467795,,Ealing,London,2017-08-10T00:00:00Z,https://www.cqc.org.uk/location/1-2255467795,,"Services for everyone,Dementia,Learning disabilities,Mental health conditions,Eating disorders","Doctors/GPs,Doctors/GPs",Dr Htun Nay Lin
"Dr Jenkins, Harper and Ross",Mill Stream,Benson,Wallingford,Oxfordshire,OX10 6RL,01491838286,1-199758556,,https://www.millstreamsurgery.nhs.uk,Oxfordshire,South East,,https://www.cqc.org.uk/provider/1-199758556,"Mill Stream Surgery, Benson","Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Jenkins, Harper and Ross"
"Dr Joginder Singh Sethi, Mrs Ranjit Kaur Sethi, Dr Deepak Sethi",59 Berkeley Avenue,,Hounslow,,TW4 6LE,02088978551,1-20632981840,,,Hounslow,London,,https://www.cqc.org.uk/provider/1-20632981840,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Joginder Singh Sethi, Mrs Ranjit Kaur Sethi, Dr Deepak Sethi"
"Dr Kothari, Dr Nanda,Dr Brezina,Dr Hart and Dr Metcalfe",The Puzey Family Practice,"Southwell House, Back Lane",Rochford,Essex,SS4 1AY,01702533740,1-199726275,1-551316045,https://www.puzeyfamilypractice.co.uk,Essex,East,2016-05-25T00:00:00Z,https://www.cqc.org.uk/location/1-551316045,The Puzey Family Practice,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Kothari, Dr Nanda,Dr Brezina,Dr Hart and Dr Metcalfe"
"Dr Kothari, Dr Nanda,Dr Brezina,Dr Hart and Dr Metcalfe",The Puzey Family Practice,"Southwell House, Back Lane",Rochford,Essex,SS4 1AY,08454081277,1-199726275,,https://www.puzeyfamilypractice.co.uk,Essex,East,,https://www.cqc.org.uk/provider/1-199726275,The Puzey Family Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Kothari, Dr Nanda,Dr Brezina,Dr Hart and Dr Metcalfe"
"Dr Libberton, Ram & Gulati",60 Cannock Road,,Wolverhampton,West Midlands,WV10 8PJ,01902731902,1-199776398,,,Wolverhampton,West Midlands,,https://www.cqc.org.uk/provider/1-199776398,Blackhalve Lane Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Diagnostic and screening procedures",Partnership,"Dr Libberton, Ram & Gulati"
"Dr MK Datta, Dr S Datta and Dr H Singh's Practice","Stepping Stone Practice, Audley Health Centre",Longton Close,Blackburn,Lancashire,BB1 1XA,01254617411,1-199782162,,https://www.audleyhealthcentre.net,Blackburn with Darwen,North West,,https://www.cqc.org.uk/provider/1-199782162,Stepping Stone Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr MK Datta, Dr S Datta and Dr H Singh's Practice"
"Dr Mahmub, Dr Majid & Dr Paramanathan's Surgery",73 Bath Street,Sedgley,Dudley,West Midlands,DY3 1LS,01902887870,1-18921425905,,https://www.bathstreetmedicalcentre.co.uk,Dudley,West Midlands,,https://www.cqc.org.uk/provider/1-18921425905,Bath Street Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Mahmub, Dr Majid & Dr Paramanathan's Surgery"
"Dr Majid, Dr Mahbub & Dr Paramanathan's Surgery at Brace Street Health Centre",Brace Street Health Centre,63 Brace Street,Walsall,,WS1 3PS,01922631630,1-18921425905,1-18969425749,,Walsall,West Midlands,,https://www.cqc.org.uk/location/1-18969425749,,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Mahmub, Dr Majid & Dr Paramanathan's Surgery"
"Dr Martin, Private General Practitioners",14 Harley Street,,London,,W1G 9PQ,02045801414,1-13774888880,1-14779815035,https://www.drmartingp.com,Westminster,London,,https://www.cqc.org.uk/location/1-14779815035,,Services for everyone,"Doctors/GPs,Doctors/GPs",DRMARTINGP LTD
"Dr Nazareth, Dr Hameed, Dr Frankland and Dr Ihsan",Waterloo Health Centre,"Wakefield Road, Waterloo",Huddersfield,West Yorkshire,HD5 9XP,01484500977,1-199702708,,https://www.thewaterloopractice.co.uk,Kirklees,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199702708,The Waterloo Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Nazareth, Dr Hameed, Dr Frankland and Dr Ihsan"
"Dr Nazareth, Dr Hameed, Dr Frankland and Dr Ihsan",Waterloo Health Centre,"Wakefield Road, Waterloo",Huddersfield,West Yorkshire,HD5 9XP,01484500977,1-199702708,1-586222166,https://www.thewaterloopractice.co.uk,Kirklees,Yorkshire & Humberside,2019-10-28T00:00:00Z,https://www.cqc.org.uk/location/1-586222166,The Waterloo Practice,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Nazareth, Dr Hameed, Dr Frankland and Dr Ihsan"
"Dr Newmans Surgery, The Newman Practice",36 Parkstone Road,,Poole,Dorset,BH15 2PG,01202099542,1-11681202465,,https://www.thenewmanpractice.uk,"Bournemouth, Christchurch and Poole",South West,,https://www.cqc.org.uk/provider/1-11681202465,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Newmans Surgery, The Newman Practice"
"Dr Nikita Bains, Dr Dev Rajendra Patel, Mrs Devki Rajendra Sadhra, Mr Rajdeep Singh Sadhra",293 West Green Road,,London,,N15 3PA,020888882408,1-5118211911,,,Haringey,London,,https://www.cqc.org.uk/provider/1-5118211911,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Nikita Bains, Dr Dev Rajendra Patel, Mrs Devki Rajendra Sadhra, Mr Rajdeep Singh Sadhra"
"Dr RI Addlestone, Dr N Mourmouris & Dr GE Orme",Thornton Medical Centre,15 Green Lane,Leeds,West Yorkshire,LS12 1JE,01132310626,1-199703790,1-552575041,https://www.thorntonmedicalcentre.nhs.uk,Leeds,Yorkshire & Humberside,2020-02-12T00:00:00Z,https://www.cqc.org.uk/location/1-552575041,,Services for everyone,"Doctors/GPs,Doctors/GPs",Dr Mourmouris & Partners
"Dr Ramaswamy Devaradjalou, Dr Malgorzata Oblon",32 Whiteladies Road,The Basement,Bristol,,BS8 2LG,07934052728,1-19333845151,,,"Bristol, City of",South West,,https://www.cqc.org.uk/provider/1-19333845151,Health Blossom,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Ramaswamy Devaradjalou, Dr Malgorzata Oblon"
"Dr Reynolds, Dr Waters, Dr Arfeen & Dr Varma",106 Elthorne Park Road,Hanwell,London,,W7 2JJ,02085670447,1-199723175,,https://www.elthorneparksurgery.nhs.uk,Ealing,London,,https://www.cqc.org.uk/provider/1-199723175,Elthorne Park Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Reynolds, Dr Waters, Dr Arfeen & Dr Varma"
"Dr Reynolds, Dr Waters, Dr Arfeen & Dr Varma",106 Elthorne Park Road,Hanwell,London,,W7 2JJ,02085670447,1-199723175,1-589456746,https://www.elthorneparksurgery.nhs.uk,Ealing,London,2016-09-21T00:00:00Z,https://www.cqc.org.uk/location/1-589456746,Elthorne Park Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Reynolds, Dr Waters, Dr Arfeen & Dr Varma"
"Dr Roberts, Mr Eddy, Dr O’Sullivan, Dr Hughes, Dr Cook & Dr Halcrow",Applethwaite,,Windermere,Cumbria,LA23 1BA,01539488484,1-199687209,,https://www.stmaryssurgery.com,Westmorland and Furness,North West,,https://www.cqc.org.uk/provider/1-199687209,St Marys & Staveley Surgeries,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Roberts, Mr Eddy, Dr O’Sullivan, Dr Hughes, Dr Cook & Dr Halcrow"
